traditional,simplified,pinyin,translation,level,numerical_pinyin,pinyin_check,exclude
不客氣,不客气,bù kèqì,"you're welcome, don't mention it, impolite, rude, blunt",1,bu4 ke4 qi,bù kèqi,True
不用,不用,bùyòng,need not,1,bu4 yong4,bùyòng,False
菜,菜,cài,"vegetable, greens, dish, course, food",1,cai4,cài,False
不對,不对,bù duì,"incorrect, wrong, amiss, abnormal, queer",1,bu4 dui4,bù duì,False
差,差,chà,"be short, lack",1,cha1,chā,True
不,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix",1,bu4,bù,False
茶,茶,chá,tea,1,cha2,chá,False
常常,常常,chángcháng,"oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually",1,chang2 chang2,chángcháng,False
常,常,cháng,"often, usually, frequently",1,chang2,cháng,False
車,车,chē,vehicle,1,che1,chē,False
唱歌,唱歌,chàng gē,sing,1,chang4 ge1,chànggē,False
車上,车上,chē shàng,Car,1,che1 shang4,chēshàng,False
車票,车票,chēpiào,ticket (for train/bus),1,che1 piao4,chēpiào,False
唱,唱,chàng,"cry, chant, chirm, tune, vocalize, call, sing",1,chang4,chàng,False
吃,吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up",1,chi1,chī,False
車站,车站,chēzhàn,station,1,che1 zhan4,chēzhàn,False
吃飯,吃饭,chī fàn,"feed, dine, make a living, keep alive, have a meal, eat",1,chi1 fan4,chīfàn,False
出來,出来,chū lai,"come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge",1,chu1 lai2,chūlái,True
齣,出,chū,"produce, turn out, arise, happen",1,chu1,chū,False
出去,出去,chū qu,"go_out, go/get out, get_out, go out, get out, go, exit",1,chu1 qu4,chūqù,True
床,床,chuáng,bed,1,chuang2,chuáng,False
次,次,cì,"order, sequence, next",1,ci4,cì,False
穿,穿,chuān,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",1,chuan1,chuān,False
錯,错,cuò,"wrong, mistaken, bad, poor, confused, complex",1,cuo4,cuò,False
從,从,cóng,"from, since, through",1,cong2,cóng,False
打,打,dǎ,"generalized verb of doing with specific meaning determined by its object, strike, hit, fight, construct, forge, mix",1,da3,dǎ,False
打車,打车,dǎchē,"to take a taxi (in town), to hitch a lift",1,da3 che1,dǎchē,False
打電話,打电话,dǎ diànhuà,make telephone call,1,da3 dian4 hua4,dǎdiànhuà,False
打開,打开,dǎ kāi,"unscrew, undo, break_out, open up, unbar, unpack, unwind, shoot, turn, switch_on, open, switch on, unroll, turn/switch on, unclose, straighten, unfold, crack, unwrap, ope, turn_on, turn on, chop",1,da3 kai1,dǎkāi,False
打球,打球,dǎqiú,play a ball game using arms/hands,1,da3 qiu2,dǎqiú,False
大學,大学,dàxué,"university, college",1,da4 xue2,dàxué,False
大,大,dà,"great, macro, old, very, vast, tall, big, high, much",1,da4,dà,False
大學生,大学生,dàxuéshēng,"man, university/college student, college man, university student, colleger, university, undergrad, undergraduate, college boy, college student, collegian, university_student, undergraduate student, geeks",1,da4 xue2 sheng1,dàxuéshēng,False
得到,得到,dé dào,"to get, to obtain, to receive",1,de2 dao4,dédào,False
到,到,dào,up until,1,dao4,dào,False
等,等,děng,"conj.: and so on, etc",1,deng3,děng,False
地點,地点,dìdiǎn,"location, site, locale, locality, topographic point, point, venue, spot, situs, land site, place, locus",1,di4 dian3,dìdiǎn,False
地,地,de,"the earth, land, soil, fields, ground, place, position, background, distance",1,di4,dì,True
地方,地方,dìfang,"country, soil, terrain, part, clime, way, territory, room, neighbourhood, tinderbox, locality (as distinct from the central administrat, child, tract, province, position, respect, where, region, space, place, local",1,di4 fang1,dìfāng,True
地上,地上,dìshang,"on the ground, on the floor",1,di4 shang,dìshang,False
的,的,de,particle: emphasizing an action/situation,1,de,de,False
地圖,地图,dìtú,map,1,di4 tu2,dìtú,False
弟弟,弟弟,dìdi,"brother, little brother, younger brother, cadet, little_brother, viscount",1,di4 di,dìdi,False
第,第,dì,"mansion, stadium, decker, det.: marker of ordinal numerals, abomasum, residence",1,di4,dì,False
點,点,diǎn,m.[proximation],1,dian3,diǎn,False
電話,电话,diànhuà,"blower, phone call, headphone, earpiece, telephone, telephone_call, buzz, earphone, horn, telephone set, phone_call, telephony, phone",1,dian4 hua4,diànhuà,False
電,电,diàn,electricity,1,dian4,diàn,False
電腦,电脑,diànnǎo,"electronic computer, computery, data processor, information processing system, computer",1,dian4 nao3,diànnǎo,False
電視機,电视机,diànshìjī,"set, idiot_box, tv, goggle-box, idiot box, television receiver/set, teleset, television set, television receiver, TV set, goggle_box, tv set, goggle box, boob tube, receiver, telly, television",1,dian4 shi4 ji1,diànshìjī,False
電影,电影,diànyǐng,"cinematography, moving_picture, pix, kinema, picture, film, movie, moving picture, flick, cinema, motion_picture, cinematic, celluloid, picture show, motion picture, flicker",1,dian4 ying3,diànyǐng,False
電視,电视,diànshì,"TV, box, iconoscope, video, television set, teevee, orthicon, huckster, TV set, radiovision, television, telecasting, airwave, telly",1,dian4 shi4,diànshì,False
電影院,电影院,diànyǐng yuàn,"cinema, movie (house)",1,dian4 ying3 yuan4,diànyǐngyuàn,False
東邊,东边,dōngbiān,"east, east side, eastern part, to the east of",1,dong1 bian,dōngbian,True
東,东,dōng,east,1,dong1,dōng,False
東西,东西,dōngxi,"thing, creature",1,dong1 xi,dōngxi,False
動,动,dòng,"concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move",1,dong4,dòng,False
動作,动作,dòngzuò,"demeanor, motion, behavior, performance, demeanour, play, turn, operation, operative, looseness, agency, gesticulation, movement, gesture, comportment, business, action, move",1,dong4 zuo4,dòngzuò,False
讀,读,dú,"study, read, attend school, take, read aloud, read (aloud), peruse",1,du2,dú,False
都,都,dōu,"all, even, already",1,du1,dū,True
讀書,读书,dú shū,"read, study, attend school",1,du2 shu1,dúshū,False
對不起,对不起,duìbuqǐ,"be unfair to, I'm sorry, let ... down, let sb. down, excuse me",1,dui4 bu qi3,duìbuqǐ,False
多,多,duō,"many, much, more, more than the correct/required number, excessive, too much, much/far more",1,duo1,duō,False
多少,多少,duōshao,"det.: how many, how much, many",1,duo1 shao3,duōshǎo,True
兒子,儿子,érzi,"viscount, man-child, boy, male offspring, son",1,er2 zi,érzi,False
餓,饿,è,starve,1,e4,è,False
對,对,duì,"correct, true, toward",1,dui4,duì,False
二,二,èr,"det.: two, second",1,er4,èr,False
飯,饭,fàn,"food, meal, repast, cooked rice or other cereals, dinner",1,fan4,fàn,False
飯店,饭店,fàndiàn,"restraurant, restaurant, hotel",1,fan4 dian4,fàndiàn,False
房間,房间,fángjiān,"apartment, aspect, houseroom, room, chamber, bedroom",1,fang2 jian1,fángjiān,False
房子,房子,fángzi,"building (of less than three stories), room, building, property, house",1,fang2 zi,fángzi,False
放,放,fàng,"loose, bloom, make longer, set ... free, let sb. have his own way, show, readjust, free, make larger, put in, fly, etc., release, discharge, leave alone, bung, lay aside, put, expansion, make longer/larger/etc., fling, localize, lend (money) at interest, let go, set, pasture, pose, set free, blossom, lay, let off, put out to pasture, send away, play, expand, make larger/etc., readjus",1,fang4,fàng,False
放假,放假,fàng jià,"have a day off, have a vacation, have day off, have or be on vacation, have or be on holiday, have a holiday, vacation",1,fang4 jia4,fàngjià,False
飛,飞,fēi,"hover in the air, flight, hover, volatilize, wing, disappear through volatilization, flutter, skip, hover/flutter in the air, fly, blow, flutter in the air, flit",1,fei1,fēi,False
放學,放学,fàng xué,"have winter holidays, classes are over, finish classes, have summer holidays, finish classes (for the day)",1,fang4 xue2,fàngxué,False
飛機,飞机,fēijī,"aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft",1,fei1 ji1,fēijī,False
非常,非常,fēicháng,"extraordinary, unusual, special, very, extremely, highly",1,fei1 chang2,fēicháng,False
分,分,fēn,m.[general],1,fen1,fēn,False
風,风,fēng,"wind, common practice, custom, general mood, style, news, information",1,feng1,fēng,False
幹,干,gàn,"do, work, fight",1,gan1,gān,True
乾淨,干净,gānjìng,"clean, clear",1,gan1 jing4,gānjìng,False
高興,高兴,gāoxìng,"glad, happy, cheerful, merry, pleased",1,gao1 xing4,gāoxìng,False
高,高,gāo,"tall, high",1,gao1,gāo,False
告訴,告诉,gàosu,"tell, preach, notify, impart, inform, represent, apprize, send word, share, advise, give notice, apprise, assure, let know",1,gao4 su,gàosu,False
哥哥,哥哥,gēge,"big brother, elder brother, big_brother",1,ge1 ge,gēge,False
歌,歌,gē,song,1,ge1,gē,False
幹什麼,干什么,gànshénme,do something,1,gan4 shen2 me,gànshénme,False
個,个,gè,"piece, item",1,ge4,gè,False
給,给,gěi,"give, give to",1,gei3,gěi,False
跟,跟,gēn,"with, to, from",1,gen1,gēn,False
工人,工人,gōngren,"navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand",1,gong1 ren2,gōngrén,True
工作,工作,gōngzuò,"work, job",1,gong1 zuo4,gōngzuò,False
關,关,guān,"shut, close, turn off, lock up, close down",1,guan1,guān,False
關上,关上,guānshàng,"to close (a door), to turn off (light, electrical equipment etc)",1,guan1 shang4,guānshàng,False
國,国,guó,"surname Guo, country, nation, state, national, CL:個|个[ge4]",1,guo2,guó,False
國家,国家,guójiā,"sirkar, state, country, patria, a people, nationality, nation, republic, soli, body politic, clime, national, civil order, polity, commonwealth, land, res publica",1,guo2 jia1,guójiā,False
貴,贵,guì,"expensive, costly, highly valued",1,gui4,guì,False
國外,国外,guówài,overseas,1,guo2 wai4,guówài,False
還是,还是,háishi,"still, nevertheless",1,hai2 shi,háishi,False
孩子,孩子,háizi,"kid, issue, chap, daughter, children, sonny, son or daughter, child, spawn, boy, kipper, son",1,hai2 zi,háizi,False
還有,还有,háiyǒu,"conj.: furthermore, in addition",1,hai2 you3,háiyǒu,False
過,过,guò,[aspect],1,guo4,guò,False
漢語,汉语,Hànyǔ,"Chinese language, CL:門|门[men2]",1,han4 yu3,hànyǔ,False
還,还,hái,"still, yet, also, too, as well, besides",1,huan2,huán,True
漢字,汉字,Hànzì,"Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự",1,han4 zi4,hànzì,False
好,好,hǎo,good,1,hao3,hǎo,False
好吃,好吃,hǎochī,"delicious, good to eat, tasty, enjoy eating good food, gluttonous",1,hao4 chi1,hàochī,True
好看,好看,hǎokàn,"embarrassed, interesting, nice, good-looking, delightful",1,hao3 kan4,hǎokàn,False
好聽,好听,hǎotīng,pleasant to hear,1,hao3 ting1,hǎotīng,False
好玩兒,好玩儿,hǎowánr,"interesting, delightful, amusing",1,hao3 wan2 r,hǎowánr,False
號,号,hào,m.[general],1,hao4,hào,False
喝,喝,hē,drink,1,he1,hē,False
和,和,hé,"and, with, gentle, peaceful",1,he2,hé,False
很,很,hěn,"pretty, thrice, monstrously, gey, quite, mighty, stinking, sopping, some, assai, full, most, clinking, much, thumping, awfully, fiendishly, thundering, very, real, really, bally, proper, grossly, powerful, so, rattling, well, considerably, greatly, terribly",1,hen3,hěn,False
後,后,hòu,"rear, back, behind",1,hou4,hòu,False
後邊,后边,hòubian,"back, rear, behind",1,hou4 bian,hòubian,False
話,话,huà,"words, thing, language, tongue, talk, speech, spoken_language, conversation, utterance, expression, story, tale, saying, natural language, sayings, word",1,hua4,huà,False
後天,后天,hòutiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori",1,hou4 tian1,hòutiān,False
壞,坏,huài,spoiled,1,huai4,huài,False
回答,回答,huídá,"answer, reply",1,hui2 da2,huídá,False
回,回,huí,"return, go back",1,hui2,huí,False
花,花,huā,"spend, expend, cost",1,hua1,huā,False
回到,回到,huídào,"remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to",1,hui2 dao4,huídào,False
回家,回家,huí jiā,return home,1,hui2 jia1,huíjiā,False
回去,回去,huí  qu,"go_home, go_back, retrocede, go back, be back, go, return",1,hui2 qu,huíqu,False
回來,回来,huí lai,"come back, get_back, recur, revisit, come, return, be back, come_back",1,hui2 lai,huílai,False
會,会,huì,"to be able, can, will, to meet",1,hui4,huì,False
火車,火车,huǒchē,"choo-choo, railroad train, car train, marshalling_yard, puff-puff, train",1,huo3 che1,huǒchē,False
機場,机场,jīchǎng,"landing field, flying field, airfield, airport, airdrome, field, aerodrome",1,ji1 chang3,jīchǎng,False
雞蛋,鸡蛋,jīdàn,"(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]",1,ji1 dan4,jīdàn,False
機票,机票,jīpiào,"air ticket, passenger ticket, CL:張|张[zhang1]",1,ji1 piao4,jīpiào,False
幾,几,jǐ,"det.: how many, a few, several, some",1,ji3,jǐ,False
記得,记得,jì de,"come to mind, think back, remember, recollect, recall, rememberance, mind, retain, place, spring to mind, bear in mind",1,ji4 de,jìde,False
記住,记住,jì zhu,"to remember, to bear in mind, to learn by heart",1,ji4 zhu,jìzhu,False
家,家,jiā,"family, household, home, house",1,jia1,jiā,False
記,记,jì,"write down, record",1,ji4,jì,False
家裡,家里,jiālǐ,home,1,jia1 li3,jiālǐ,False
見面,见面,jiàn miàn,"meet, see",1,jian4 mian4,jiànmiàn,False
教,教,jiào,teach,1,jiao4,jiào,False
家人,家人,jiārén,"relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house",1,jia1 ren2,jiārén,False
間,间,jiān,"locality, room",1,jian1,jiān,False
見,见,jiàn,"see, be exposed to, become visible, call on, refer to, meet with, appear to be, appear, vide, catch sight of, meet",1,jian4,jiàn,False
叫,叫,jiào,to be called,1,jiao4,jiào,False
教學樓,教学楼,jiàoxuélóu,"teaching block, school building",1,jiao4 xue2 lou2,jiàoxuélóu,False
介紹,介绍,jièshào,"introduce, present, recommend, suggest, let know, brief",1,jie4 shao4,jièshào,False
今年,今年,jīnnián,this year,1,jin1 nian2,jīnnián,False
姐姐,姐姐,jiějie,"sis, big_sister, elder sister, sister",1,jie3 jie,jiějie,False
今天,今天,jīntiān,"today, at the present, now",1,jin1 tian1,jīntiān,False
進,进,jìn,"enter, come/go into, advance",1,jin4,jìn,False
進來,进来,jìn lai,"come in, enter",1,jin4 lai2,jìnlái,True
進去,进去,jìn qu,"enter, entry, go_in, get in, go in",1,jin4 qu4,jìnqù,True
就,就,jiù,"then, at once, right away, an indicator strengthening speaker's evaluation",1,jiu4,jiù,False
覺得,觉得,juéde,"imagine, guess, believe, reckon, suspect, suppose, think, listen, feel, consider, think_of, appear, conceive",1,jue2 de,juéde,False
九,九,jiǔ,det.: nine,1,jiu3,jiǔ,False
開,开,kāi,"open, open up, reclaim (land), open out, come loose, start, begin, operate, turn on (light), run (business), hold (meeting/etc.), divide into, reveal",1,kai1,kāi,False
開車,开车,kāi chē,to drive a car,1,kai1 che1,kāichē,False
開會,开会,kāi huì,hold/attend meeting,1,kai1 hui4,kāihuì,False
開玩笑,开玩笑,kāi wánxiào,"kid, spoof, jive, gag, make fun of, josh, daff, rot, quip, chaff, rib, banter, jolly, fun, sport, put_on, clown, fool, droll, jape, joke, skylark, jest, jocose, crack a joke",1,kai1 wan2 xiao4,kāiwánxiào,False
看,看,kàn,"see, look at, watch, read, look upon, regard, look after, call on, visit",1,kan4,kàn,False
看病,看病,kàn bìng,"to visit a doctor, to see a patient",1,kan4 bing4,kànbìng,False
看到,看到,kàn dào,"view, receive, ken, observe, lamp, catch, see, take in, watch, chatter away, lay_eyes_on, boast, brag, shoot the breeze, spy, catch sight of, catch sight of",1,kan4 dao4,kàndào,False
考,考,kǎo,"study, inspect, give test, inspection, give, give/take test, test, investigate, verify, take test, give or take an examination, quiz, check",1,kao3,kǎo,False
看見,看见,kàn jian,"seeing, behold, see, descry, show, perceive, lay eyes on, lamp, spy, show up, sight, catch sight of, catch sight of",1,kan4 jian4,kànjiàn,True
考試,考试,kǎoshì,"examination, test",1,kao3 shi4,kǎoshì,False
渴,渴,kě,thirsty,1,ke3,kě,False
課,课,kè,"subject, course, class",1,ke4,kè,False
課本,课本,kèběn,"text edition, textbook, text, school text, schoolbook",1,ke4 ben3,kèběn,False
課文,课文,kèwén,"text, CL:篇[pian1]",1,ke4 wen2,kèwén,False
口,口,kǒu,m.[general],1,kou3,kǒu,False
塊,块,kuài,m.[general],1,kuai4,kuài,False
快,快,kuài,"fast, quick, quick-witted, ingenious, sharp (of knives), straightforward",1,kuai4,kuài,False
來,来,lái,to,1,lai2,lái,False
來到,来到,láidào,"arrive, come",1,lai2 dao4,láidào,False
老,老,lǎo,"old, aged;of long standing, outdated, tough, overgrown, dark (of colors)",1,lao3,lǎo,False
老人,老人,lǎoren,"oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents",1,lao3 ren2,lǎorén,True
老師,老师,lǎoshī,"rabbi, professor, swami, instructor, teacher, mast",1,lao3 shi1,lǎoshī,False
了,了,le,entirely,1,le,le,False
累,累,lèi,"tire, build by piling up, pile up, strain, weary, toil, accumulate, involve, tired, burthen, work hard, accumulation, fatigued, wear out",1,lei3,lěi,True
冷,冷,lěng,"cool, rare, cold, unfrequented, feel cold, chill, frosty(in manner), shot from hiding, strange",1,leng3,lěng,False
裏,里,lǐ,inside,1,li3,lǐ,False
裡邊,里边,lǐbian,inside,1,li3 bian,lǐbian,False
兩,两,liǎng,"det.: two, both (sides), either (side), a few, some",1,liang3,liǎng,False
零,零,líng,"det.: zero, naught, nil",1,ling2,líng,False
六,六,liù,det.: six,1,liu4,liù,False
樓,楼,lóu,"storey, Lou, tower, superstructure, storied building, story, floor, Surname, a storied building",1,lou2,lóu,False
樓上,楼上,lóushàng,upstairs,1,lou2 shang4,lóushàng,False
樓下,楼下,lóuxià,downstairs,1,lou2 xia4,lóuxià,False
路口,路口,lùkǒu,"crossing, intersection (of roads)",1,lu4 kou3,lùkǒu,False
路上,路上,lùshang,"on the road, on a journey, road surface",1,lu4 shang,lùshang,False
媽媽,妈妈,māma,"mummy, mammy, ma, mother, mamma, mum, mommy, female parent, mom, Mama, mater, mama, momma",1,ma1 ma,māma,False
馬路,马路,mǎlù,"drive, road, driveway, riding, a road, carriageway, avenue, street, a street used by vehicular traffic",1,ma3 lu4,mǎlù,False
路,路,lù,"road, path, way, journey, distance, means, sequence, logic, line, region, district, route, sort, grade, class",1,lu4,lù,False
馬上,马上,mǎshàng,"in a short time, at_once, instantaneously, promptly, at once, incontinent, in the same breath, directively, instantly, slapbang, pronto, right_away, immediately, shortly, without delay, right away, tout-de-suite, forthwith, presently, in_no_time, at a time, soon, hereupon, in a few seconds, before long, at one time, outright, straightaway, in a minute, directly, momently, in a f",1,ma3 shang4,mǎshàng,False
買,买,mǎi,"pick up, invest, hire, buy, purchase, put_down, trade, get",1,mai3,mǎi,False
嗎,吗,ma,particle: calling for agreement or disagreement,1,ma,ma,False
慢,慢,màn,"tardy, rude, slow down, slow, slow up, retard, lose, defer, supercilious, postpone, decelerate",1,man4,màn,False
忙,忙,máng,"hurry, hasten",1,mang2,máng,False
毛,毛,máo,"Mao, wool, bristle, nap, pilus, down, feather, mold, mildew, Surname, hair, 1 1 0 th yuan, 1 0 th yuan, dime, silk, cent, fur, marking",1,mao2,máo,False
沒,没,méi,not,1,mei2,méi,False
沒關係,没关系,méiguānxi,"it doesn't matter, never mind",1,mei2 guan1 xi,méiguānxi,False
沒什麼,没什么,méishénme,"nothing, it doesn't matter, it's nothing, never mind",1,mei2 shen2 me,méishénme,False
沒有,没有,méiyou,"not have, there is not, be without",1,mei2 you3,méiyǒu,True
沒事兒,没事儿,méishìr,"to have spare time, free from work, it's not important, it's nothing, never mind",1,mei2 shi4 r,méishìr,False
妹妹,妹妹,mèimei,"little_sister, sis, younger sister, little sister, sister",1,mei4 mei,mèimei,False
門,门,mén,"door, gate",1,men2,mén,False
門口,门口,ménkǒu,"porch, portal, doorway, gateway, threshold, room access, door, entering, entrance",1,men2 kou3,ménkǒu,False
門票,门票,ménpiào,"entrance/admission ticket, admission ticket, admission fee, admission price, entrance ticket, admission charge, cover_charge, admission, entrance fee, entrance money, pasteboard, price of admission, entrance",1,men2 piao4,ménpiào,False
米飯,米饭,mǐfàn,(cooked) rice,1,mi3 fan4,mǐfàn,False
們,们,men,pluralizer after pronouns and nouns of persons,1,men,men,False
麵包,面包,miànbāo,"bun, staff of life, cookie, breadstuff, bread",1,mian4 bao1,miànbāo,False
麵條兒,面条儿,miàntiáor,"noodles, erhua variant of 麵條|面条[mian4 tiao2]",1,mian4 tiao2 r,miàntiáor,False
名字,名字,míngzi,"first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation",1,ming2 zi4,míngzì,True
明白,明白,míngbai,"clarify, downright, recognize, agnize, tumble, follow, make out, catch, understand, discern, think, know, seize, agnise, twig, realize, get, realization",1,ming2 bai,míngbai,False
明年,明年,míngnián,next year,1,ming2 nian2,míngnián,False
明天,明天,míngtiān,tomorrow,1,ming2 tian1,míngtiān,False
哪,哪,nǎ,det.: which,1,na3,nǎ,False
哪裡,哪里,nǎli,where,1,na3 li3,nǎlǐ,True
哪兒,哪儿,nǎr,where,1,na3 r,nǎr,False
哪些,哪些,nǎxiē,det.: which,1,na3 xie1,nǎxiē,False
拿,拿,ná,"take, hold, seize, capture",1,na2,ná,False
那邊,那边,nàbian,"beyond, that side, there",1,na4 bian,nàbian,False
那,那,nà,det.: that,1,na4,nà,False
那裡,那里,nàlǐ,that place,1,na4 li,nàli,True
那些,那些,nàxiē,det.: those,1,na4 xie1,nàxiē,False
奶,奶,nǎi,"breasts, milk",1,nai3,nǎi,False
那兒,那儿,nàr,that place,1,na4 r,nàr,False
奶奶,奶奶,nǎinai,"nanna, address for married woman, granny, gran, grandmother, grandma, respectful form of address for an old woman, paternal grandmother",1,nai3 nai,nǎinai,False
男孩兒,男孩儿,nánháir,"boy, erhua variant of 男孩[nan2 hai2]",1,nan2 hai2 r,nánháir,False
男朋友,男朋友,nánpéngyou,boyfriend,1,nan2 peng2 you,nánpéngyou,False
男,男,nán,"baron, male, man, steady, mankind, male person, boy, chauvinism, creature, son",1,nan2,nán,False
男生,男生,nánshēng,"brother, sonny boy, man, male, laddie, lad, boy student, male student, boy, schoolboy, sonny, cub, man student",1,nan2 sheng1,nánshēng,False
南,南,nán,"Yugoslavia, South, Nan, south, Surname, S, due south, austral, southern",1,nan2,nán,False
男人,男人,nánren,"male, man, chap, mankind, buck, bastard, gentleman, jack, gent, men, blighter, cuss, hombre, lad, adult male, groom, husband, bimbo, dog, fellow, mon, menfolk, fella",1,nan2 ren2,nánrén,True
南邊,南边,nánbian,"south, south side, southern part, to the south of",1,nan2 bian,nánbian,False
呢,呢,ne,particle: marking quesitons about subject already mentioned; indicating strong affirmation,1,ne,ne,False
難,难,nán,"make difficulties, take to task, put ... into a difficult position, disagreeable, make difficult, unpleasant, hard, difficult, troublesome, blame",1,nan2,nán,False
你,你,nǐ,you,1,ni3,nǐ,False
能,能,néng,can or to be capable of,1,neng2,néng,False
你們,你们,nǐmen,"you, you (plural), you-all",1,ni3 men,nǐmen,False
您,您,nín,you,1,nin2,nín,False
牛奶,牛奶,niúnǎi,cow's milk,1,niu2 nai3,niúnǎi,False
女,女,nǚ,"girl, female, woman, neodymium, hen, daughter, beaver, creature",1,nv3,nǚ,False
年,年,nián,year,1,nian2,nián,False
女孩兒,女孩儿,nǚháir,"girl, erhua variant of 女孩[nu:3 hai2]",1,nv3 hai2 r,nǚháir,False
女兒,女儿,nǚér,"daughter, girl",1,nv3 er2,nǚér,False
女生,女生,nǚshēng,"schoolgirl, girl student, female student, female, girl, woman student, co-ed",1,nv3 sheng1,nǚshēng,False
女朋友,女朋友,nǚpéngyou,"jane, girl, girl friend, lady friend, girlfriend, amie",1,nv3 peng2 you,nǚpéngyou,False
旁邊,旁边,pángbiān,"by the side of, side, adjacency, near by",1,pang2 bian1,pángbiān,False
跑,跑,pǎo,"travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg",1,pao3,pǎo,False
女人,女人,nǚren,"jade, crumpet, female, female person, Gill, bitch, chick, fair, squaw, womenfolk, adult female, doll, momma, wench, skirt, womankind, girl, jill, wife, broad, petticoat, sister, woman, bimbo, bird, jane, she, hen, hairpin, dame, women",1,nv3 ren2,nǚrén,True
朋友,朋友,péngyou,"amigo, connections, kith, friend, boy, crony, ami, boy/girl friend, companion, mate, boy friend or girl friend, compadre, boy friend, Mac, paisano, matey, old_boy, sport, folks, pard, hearty, Kamerad, cocker, cobber, girl friend, pardner, company",1,peng2 you,péngyou,False
票,票,piào,"ticket, ballot, note",1,piao4,piào,False
七,七,qī,det.: seven,1,qi1,qī,False
